      |------ 1 -----|------ 2 ------|------ 3 ------|------ 4 ------|------ 5 ------|------ 6 ------|------ 7 ------|
   ID             NAME            PSOL            PHLS            PHLF            PWOF            PKOC            PCST
    1 2,4-D               0.900000E+03    0.100000E+02    0.900000E+01    0.400000E+00    0.740000E+02    0.000000E+00
    2 2,4,5-T             0.500000E+01    0.120000E+02    0.900000E+01    0.400000E+00    0.850000E+02    0.000000E+00
    3 Aatrex              0.330000E+02    0.600000E+02    0.500000E+01    0.400000E+00    0.800000E+02    0.000000E+00
    4 Abate               0.000000E+00    0.300000E+02    0.500000E+01    0.600000E+00    0.100000E+07    0.000000E+00
    5 Acaraben            0.130000E+02    0.200000E+02    0.100000E+02    0.100000E+00    0.200000E+04    0.000000E+00
    6 Accelerate          0.100000E+06    0.700000E+01    0.700000E+01    0.900000E+00    0.200000E+02    0.000000E+00
    7 Acclaim             0.800000E+00    0.900000E+01    0.500000E+01    0.200000E+00    0.949000E+04    0.000000E+00
    8 Actellic            0.900000E+01    0.100000E+02    0.990000E+02    0.100000E+01    0.100000E+04    0.000000E+00
    9 Alanap              0.231000E+06    0.140000E+02    0.700000E+01    0.900000E+00    0.200000E+02    0.000000E+00
   10 Alar                0.100000E+06    0.700000E+01    0.400000E+01    0.900000E+00    0.100000E+02    0.000000E+00
   11 Aldrin              0.100000E+00    0.280000E+02    0.200000E+01    0.100000E+00    0.300000E+03    0.000000E+00
   12 Aliette             0.120000E+06    0.100000E+00    0.100000E+00    0.900000E+00    0.200000E+02    0.000000E+00
   13 Ally                0.950000E+04    0.120000E+03    0.300000E+02    0.800000E+00    0.350000E+02    0.000000E+00
   14 Amdro               0.000000E+00    0.100000E+02    0.990000E+02    0.100000E+01    0.730000E+06    0.000000E+00
   15 Amiben              0.900000E+06    0.140000E+02    0.700000E+01    0.900000E+00    0.150000E+02    0.000000E+00
   16 Amid-Thin W         0.100000E+03    0.100000E+02    0.500000E+01    0.600000E+00    0.100000E+03    0.000000E+00
   17 Amitrol T           0.360000E+06    0.140000E+02    0.500000E+01    0.900000E+00    0.100000E+03    0.000000E+00
   18 Ammo                0.000000E+00    0.300000E+02    0.500000E+01    0.400000E+00    0.100000E+06    0.000000E+00
   19 Antor               0.105000E+03    0.210000E+02    0.100000E+02    0.400000E+00    0.140000E+04    0.000000E+00
